gene_id,gene_name,16h_1,16h_2,16h_3,8h_1,8h_2,8h_3,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSG00000184489,PTP4A3,1913,1992,1809,1254,1158,1046,1549.6954448092822,0.8878348073730515,0.055024869746723624,6.26399066771678e-61,5.445138729772488e-59,Up
ENSG00000102030,NAA10,3322,3059,3187,2334,2167,1920,2693.8697147233815,0.7432155774687262,0.045835115437869424,1.009736485779617e-60,8.720031494513777e-59,Up
ENSG00000107937,GTPBP4,4047,3890,3612,3112,2708,2578,3350.2661690701843,0.6290689204196308,0.03867514098195688,1.1687517465792819e-60,1.0027738199709125e-58,Up
ENSG00000107099,DOCK8,5942,5530,5361,9660,9193,8131,7188.938347635151,-0.5003716642400843,0.030709921384765373,1.3822179206431035e-60,1.1782738958359565e-58,Down
ENSG00000181418,DDN,786,773,752,354,312,301,559.5318008119393,1.4130140454810696,0.08788717674721837,2.323116761778517e-60,1.967650113678176e-58,Up
ENSG00000135476,ESPL1,792,800,697,1891,1690,1577,1209.6971525223337,-0.9803041610437895,0.06135891533928719,2.920779756312389e-60,2.458105918481248e-58,Down
ENSG00000213145,CRIP1,557,502,512,1465,1443,1183,916.1292155643487,-1.185553955767989,0.07429117170431208,3.330555206134629e-60,2.7852294897884083e-58,Down
ENSG00000163468,CCT3,18646,17539,17286,16803,14884,13904,16565.44200281023,0.4047145483354492,0.025009082564106933,1.302616506377206e-59,1.082482509356102e-57,Up
ENSG00000007202,BLTP2,9291,8874,8477,8061,7402,6798,8183.420205690707,0.43233437535678315,0.026877449387289455,5.4706236455589205e-59,4.517709389298126e-57,Up
ENSG00000160255,ITGB2,12773,12666,12189,11402,10582,9600,11584.658994308516,0.42667312312430516,0.02662838040888683,1.531180976078729e-58,1.2566145488775308e-56,Up
ENSG00000197747,S100A10,1211,1208,1152,2646,2355,2140,1745.5657047775167,-0.8090973706033917,0.051226302306159315,4.0227532850490806e-58,3.281027108355155e-56,Down
ENSG00000173457,PPP1R14B,3653,3432,3379,2766,2536,2292,3034.440125916061,0.6320215084167881,0.039757823386368234,4.397924561064986e-58,3.5650170076902857e-56,Up
