gene_id,gene_name,J_902,J_912,J_896,A,B,C,baseMean,log2FoldChange,lfcSE,pvalue,padj,sig (padj<=0.05 & |log2FC|>=0.263)
ENSMUSG00000054793.9,Cadm4,107,45,44,47,33,19,48.588323361188614,0.6116466542666233,0.3877782910543272,9.503866136624121e-4,0.018655992670223692,Up
ENSMUSG00000071001.5,Hrct1,85,86,105,57,52,77,83.10725607574204,0.5968418136426785,0.31097458803124756,9.491561750471325e-4,0.018655992670223692,Up
ENSMUSG00000120681.1,2610029K11Rik,79,82,80,71,50,52,73.82591265803553,0.5818837232038566,0.29191252163813347,9.522292785842334e-4,0.018665073902683706,Up
ENSMUSG00000020652.18,Cenpo,154.999,99,117,316.999,267,274,201.27805634894622,-0.482979653896007,0.2072888789872251,9.558210371429644e-4,0.018706986905217823,Down
ENSMUSG00000022217.15,Emc9,344,450,342,417,357,342,399.67360534816726,0.408269376551083,0.15852106831934554,9.571338216939544e-4,0.018706986905217823,Up
ENSMUSG00000019977.17,Hbs1l,1861.999,2150,1991.001,2426,2285.002,2076.121,2189.897653269487,0.2905978962939694,0.09805529944782297,9.599446299250019e-4,0.018734850100628645,Up
ENSMUSG00000029545.14,Acads,2290,1842,1012,1529.999,1588,1057,1544.6814555989195,0.5227409813443584,0.23733855129929454,9.623712883723018e-4,0.018755146506102858,Up
ENSMUSG00000031548.8,Sfrp1,762,1391,1407,2450,3062,5569,2917.183804977481,-0.6031874220579715,0.3237000824547451,9.668250430937888e-4,0.018814832673156107,Down
ENSMUSG00000024208.17,Uqcc2,2114,3663,4118,2200,2534,2383,3426.037206389686,0.580223399626891,0.29144804202736824,9.692783924483072e-4,0.01883547450842436,Up
ENSMUSG00000030254.17,Rad18,123,56.001,61.001,264,231,184,144.21638094965007,-0.5789039520674739,0.29015038852199976,9.719726490704846e-4,0.018853977252233815,Down
ENSMUSG00000045503.17,Sys1,491,653,717,614,581,466,672.5252720274119,0.4806195178939059,0.20622892906957627,9.730185672502182e-4,0.018853977252233815,Up
ENSMUSG00000071350.13,Setdb2,201.999,165,151,421,374.001,283.001,261.8767306954003,-0.4077292863478584,0.15884344092301117,9.85588136780085e-4,0.019070213948427252,Down
ENSMUSG00000053279.9,Aldh1a1,1596,2771.995,1945,1497.999,1418,1001.958,1787.1585949535931,0.6083041483266979,0.3389531133223079,9.876962540368657e-4,0.01908370262264087,Up
ENSMUSG00000084350.2,Znf41-ps,78.682,73.119,49.191,189.856,150.201,146.721,107.84877669708032,-0.5098986232374972,0.2286473655072083,9.936108563338621e-4,0.01917059462470112,Down
ENSMUSG00000026110.16,Mgat4a,601,477,368,1097.001,1013,1133,763.1513157609365,-0.4683738831147894,0.198596460629127,0.0010013434039214794,0.019292264299199443,Down
ENSMUSG00000040624.19,Plekhg1,353,244,201,788.999,566,685,422.2656584211276,-0.5380296546821074,0.2524510821583712,0.0010106262507668334,0.019415795513666793,Down
ENSMUSG00000061904.13,Slc25a3,19673.996,26196,17183.995,22403.997,20476.999,18344.999,21782.179338522175,0.4132366310243133,0.16276810614924422,0.001010402502805174,0.019415795513666793,Up
ENSMUSG00000084843.2,B230312C02Rik,36,103,109,265,471,347,167.54104574274103,-0.5961222336402526,0.40128413617233333,0.0010130786151013728,0.01943530250956889,Down
